City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Gorontalo,ID,79.14,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
5,Butaritari,KI,81.28,light rain,3.0707,172.7902,Isles Sunset Lodge
9,Vaini,TO,76.62,broken clouds,-21.2,-175.2,Keleti Beach Resort
10,Celestun,MX,77.14,overcast clouds,20.8667,-90.4,Posada Lilia
11,Atuona,PF,77.85,few clouds,-9.8,-139.0333,Villa Enata
19,Kupang,ID,85.23,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
28,Tara,RU,77.02,few clouds,56.8944,74.371,Medved'
29,Marovoay,MG,82.81,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
30,Aojiang,CN,85.3,moderate rain,22.9421,116.0359,Binjiang Hotel
33,Ranau,MY,78.01,scattered clouds,5.9538,116.6641,The Second Room
35,Alyangula,AU,79.16,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
36,Kavaratti,IN,83.28,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
38,Hirado,JP,81.39,overcast clouds,33.3597,129.5531,Samson Hotel
42,Bambanglipuro,ID,84.18,overcast clouds,-7.95,110.2833,Puri Brata
46,Bubaque,GW,78.64,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
49,Makakilo City,US,76.57,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
50,Hilo,US,76.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
52,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
54,Pochutla,MX,75.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
56,Cartagena,CO,79.16,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
67,Champerico,GT,77.38,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
73,Excelsior Springs,US,79.5,clear sky,39.3392,-94.2261,The Elms Hotel & Spa
74,Kirakira,SB,79.47,scattered clouds,-10.4544,161.9205,SanBiz Lodge
76,Mangrol,IN,88.9,scattered clouds,21.1167,70.1167,Hotel The Royal Honours
77,Saint-Leu,RE,77.83,clear sky,-21.15,55.2833,La Caz Oceane
78,Georgetown,MY,85.95,scattered clouds,5.4112,100.3354,Cititel Penang
80,Hutchinson,US,80.04,clear sky,38.0608,-97.9298,Hampton Inn Hutchinson
81,Padang,ID,82.45,broken clouds,-0.9492,100.3543,Mercure Padang
84,Meulaboh,ID,81.5,overcast clouds,4.1363,96.1285,Kost Pria
88,Kapaa,US,78.78,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
89,Andrychow,PL,76.32,clear sky,49.855,19.3383,Noclegi Nad Basenem
92,Rahimatpur,IN,89.08,overcast clouds,17.6,74.2,Swami Prasad Ice-cream parlor
97,Gushikawa,JP,86.63,broken clouds,26.3544,127.8686,Kirari Guest House
99,Nara,JP,87.91,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
116,Leiyang,CN,80.08,moderate rain,26.4024,112.8591,Dongyang Hotel
117,Dingle,PH,88.0,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
122,Isangel,VU,76.21,light rain,-19.55,169.2667,Tanna Lodge
127,Zgorzelec,PL,82.85,clear sky,51.1494,15.0084,The Golden Ostrich Hotel
130,Cosala,MX,75.02,overcast clouds,24.4125,-106.6908,Hotel Real del Conde
134,Grand Island,US,80.55,clear sky,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
136,Ixtapa,MX,76.33,moderate rain,20.7,-105.2,hotel la terminal
137,Masallatah,LY,78.44,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
140,Amahai,ID,81.32,light rain,-3.3333,128.9167,HOTEL ISABELA
141,Bengkulu,ID,82.0,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
144,Karwar,IN,82.99,overcast clouds,14.8,74.1333,Netalco Connects
145,Hithadhoo,MV,82.49,overcast clouds,-0.6,73.0833,Scoop Guest House
146,Pallasovka,RU,76.82,clear sky,50.05,46.8833,"Hotel ""Natalia"""
149,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
150,Gorgan,IR,83.95,few clouds,36.8387,54.4348,Khayyam Motel
152,Faya,SA,84.72,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
157,Domoni,KM,78.28,overcast clouds,-12.2569,44.5319,Al Djadid
160,Ahuimanu,US,78.51,broken clouds,21.4447,-157.8378,Paradise Bay Resort
172,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
173,Biak,ID,80.96,broken clouds,-0.9131,122.8766,Penginapan Kim
179,Puerto Colombia,CO,77.09,few clouds,10.9878,-74.9547,Hotel El Emigrante
