City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Petrykiv,UA,2022-06-19 01:11:35,49.5332,25.5809,55.54,79,6,6.73
1,Kailua,US,2022-06-19 01:08:52,21.4022,-157.7394,83.14,70,100,13.8
2,Marsh Harbour,BS,2022-06-19 01:11:35,26.5412,-77.0636,80.67,71,1,6.22
3,Ushuaia,AR,2022-06-19 01:08:56,-54.8,-68.3,29.86,80,40,19.57
4,Georgetown,MY,2022-06-19 01:08:56,5.4112,100.3354,82.33,83,20,0.0
5,Bluff,NZ,2022-06-19 01:08:57,-46.6,168.3333,46.8,76,100,15.55
6,Taunggyi,MM,2022-06-19 01:08:07,20.7833,97.0333,63.97,95,100,4.32
7,Oum Hadjer,TD,2022-06-19 01:08:58,13.2954,19.6966,86.18,48,100,13.82
8,Beringovskiy,RU,2022-06-19 01:11:37,63.05,179.3167,53.91,62,98,10.94
9,Alofi,NU,2022-06-19 01:08:59,-19.0595,-169.9187,79.2,72,99,20.58
10,Saint-Philippe,RE,2022-06-19 01:11:38,-21.3585,55.7679,65.79,76,70,9.91
11,Cape Town,ZA,2022-06-19 01:11:38,-33.9258,18.4232,52.12,89,53,1.01
12,Sao Joao Da Barra,BR,2022-06-19 01:11:39,-21.6403,-41.0511,70.5,89,54,16.17
13,Pisco,PE,2022-06-19 01:09:00,-13.7,-76.2167,59.05,88,0,8.05
14,Bredasdorp,ZA,2022-06-19 01:09:01,-34.5322,20.0403,48.94,82,0,7.11
15,Barrow,US,2022-06-19 01:11:40,71.2906,-156.7887,33.82,86,40,4.61
16,Vaini,TO,2022-06-19 01:11:40,-21.2,-175.2,80.76,83,75,11.5
17,Fort Nelson,CA,2022-06-19 01:11:40,58.8053,-122.7002,62.71,64,100,6.2
18,New Norfolk,AU,2022-06-19 01:11:41,-42.7826,147.0587,51.93,85,30,3.0
19,Chicama,PE,2022-06-19 01:11:41,-7.8447,-79.1469,59.54,80,8,5.97
20,Santa Cruz,BO,2022-06-19 01:08:25,-17.8,-63.1667,65.84,41,100,4.09
21,Khatanga,RU,2022-06-19 01:11:42,71.9667,102.5,40.89,66,100,16.15
22,Hobart,AU,2022-06-19 01:11:42,-42.8794,147.3294,52.27,98,75,0.0
23,Ponta Do Sol,PT,2022-06-19 01:09:04,32.6667,-17.1,68.63,67,23,5.97
24,Praia Da Vitoria,PT,2022-06-19 01:11:43,38.7333,-27.0667,63.75,80,26,18.57
25,Placido De Castro,BR,2022-06-19 01:09:06,-10.3353,-67.1856,70.65,99,82,3.65
26,Tilichiki,RU,2022-06-19 01:11:44,60.4667,166.1,47.62,76,100,2.89
27,Mataura,NZ,2022-06-19 01:09:07,-46.1927,168.8643,46.47,93,99,4.79
